"Number","Sub Market","Change since 2000","Change Bubble Era Peak to Current","Recovery from Bottom","Year-over-year change","Median Sales Price"
"p3401","Palatine/Barrington","47.7%","-15.1%","21.7%","-1.2%"," $315,000 "
"p3407","Melrose Park/Maywood","59.8%","-14.1%","63.2%","2.3%"," $230,000 "
"p3408","Oak Park/Cicero","79.6%","-12.2%","75.6%","-0.7%"," $260,000 "
"p3409","LaGrange/Burbank","56.2%","-13.9%","38.9%","-0.7%"," $255,000 "
"p3410","Orland Park/Lemont","70.1%","-8.6%","26.7%","1.7%"," $285,000 "
"p3411","Oak Lawn/Blue Island","52.9%","-14.2%","49.4%","4.3%"," $197,000 "
"p3412","Oak Forest/Country Club Hills","48.1%","-16.3%","47.8%","2.9%"," $170,000 "
"p3413","Calumet City/Harvey","15.0%","-29.0%","77.4%","8.1%"," $102,000 "
"p3414","Chicago Heights/Park Forest","21.9%","-24.5%","48.6%","7.4%"," $138,000 "
"p3415","Arlington Heights/Wheeling","58.4%","-12.2%","31.7%","-1.0%"," $320,000 "
"p3416","Winnetka/Northbrook","55.5%","-13.3%","14.4%","-1.2%"," $640,000 "
"p3417","Hoffman Estates/Streamwood","61.1%","-8.1%","55.9%","0.8%"," $225,250 "
"p3418","Schaumburg","84.1%","0.7%","44.2%","0.4%"," $280,000 "
"p3419","Mount Prospect/Elk Grove Village","57.1%","-14.3%","28.2%","-1.5%"," $310,000 "
"p3420","Park Ridge/Des Plaines","62.5%","-13.9%","40.2%","0.4%"," $330,000 "
"p3421","Evanston/Skokie","58.2%","-16.5%","32.6%","-1.7%"," $350,000 "
"p3422","Elmwood Park/Franklin Park","62.2%","-17.2%","66.7%","1.6%"," $249,000 "
"p3501","Chicago--Uptown/Rogers Park","108.9%","7.5%","51.4%","6.5%"," $613,750 "
"p3502","Chicago--Lake View/Lincoln Park","74.9%","0.7%","16.1%","-2.9%"," $1,085,000 "
"p3503","Chicago--Lincoln Square/North Center","120.9%","7.0%","39.4%","2.7%"," $552,500 "
"p3504","Chicago--Irving Park/Albany Park","90.8%","-2.7%","50.3%","-1.5%"," $429,000 "
"p3520","Chicago--Portage Park/Jefferson Park","81.6%","-9.9%","63.3%","1.7%"," $301,500 "
"p3521","Chicago--Austin/Belmont Cragin","81.2%","-20.6%","88.3%","0.2%"," $225,250 "
"p3522","Chicago--Logan Square/Avondale","172.8%","19.4%","87.8%","3.1%"," $550,000 "
"p3523","Chicago--Humboldt Park/Garfield Park","128.3%","-22.0%","174.9%","4.4%"," $158,500 "
"p3524","Chicago--West Town/Near West Side","188.9%","23.2%","69.1%","3.1%"," $690,000 "
"p3526","Chicago--Bridgeport/Brighton Park","139.2%","-10.3%","96.6%","9.8%"," $239,500 "
"p3527","Chicago--Gage Park/West Lawn","97.5%","-9.6%","76.2%","6.0%"," $230,000 "
"p3528","Chicago--Englewood/Greater Grand Crossing","51.8%","-38.9%","96.4%","10.9%"," $75,250 "
"p3529","Chicago--Bronzeville/Hyde Park","89.4%","-23.3%","61.2%","12.3%"," $283,500 "
"p3530","Chicago--Beverly/Morgan Park","78.2%","-8.2%","56.6%","7.4%"," $200,000 "
"p3531","Chicago--Auburn Gresham/Chatham","42.1%","-27.8%","72.7%","9.7%"," $99,000 "
"p3532","Chicago--South Chicago/West Pullman","43.0%","-28.5%","74.5%","13.4%"," $105,000 "
,,,,,,
,"City of Chicago","82.7%","-14.0%","58.9%","5.4%"," $228,000 "
,"Suburban Cook","47.0%","-16.7%","40.0%","1.7%"," $254,000 "
,"Cook County","56.1%","-16.3%","45.1%","2.8%"," $246,000 "
