"Number","Sub Market","Change Since 2000","Change Peak to Current","Change Bottom to Current","COVID-19 Pandemic Start to Current","Year-over-year change","Median Sales Price"
"p3101","Palatine/Barrington","117.4%","24.8%","78.7%","45.5%","7.7%"," $435,500 "
"p3102","Hoffman Estates/Streamwood","158.6%","47.3%","149.6%","59.3%","12.2%"," $330,000 "
"p3103","Schaumburg","178.1%","52.2%","118.0%","52.1%","8.4%"," $385,000 "
"p3104","Mount Prospect/Elk Grove Village","134.6%","28.3%","91.5%","48.6%","4.3%"," $431,750 "
"p3105","Arlington Heights/Wheeling","133.5%","29.7%","94.7%","47.1%","9.7%"," $450,000 "
"p3106","Winnetka/Northbrook","119.1%","22.3%","61.3%","38.4%","6.9%"," $930,000 "
"p3107","Evanston/Skokie","124.5%","19.2%","88.8%","41.1%","5.8%"," $489,000 "
"p3108","Park Ridge/Niles","127.3%","20.3%","99.2%","41.8%","8.3%"," $425,000 "
"p3109","Elmwood Park/Franklin Park","141.2%","23.2%","144.8%","50.3%","10.5%"," $350,000 "
"p3110","Melrose Park/Maywood","132.7%","26.9%","191.5%","50.6%","7.0%"," $279,000 "
"p3111","Oak Park/Brookfield","141.3%","24.5%","81.7%","38.5%","6.7%"," $474,500 "
"p3112","Berwyn/Cicero","168.6%","31.5%","235.4%","47.4%","6.1%"," $285,000 "
"p3113","LaGrange/Burbank","130.2%","27.0%","104.5%","46.8%","9.7%"," $350,000 "
"p3114","Oak Lawn/Blue Island","132.1%","30.5%","127.1%","53.6%","7.9%"," $275,000 "
"p3115","Orland Park/Lemont","159.0%","33.3%","86.0%","46.8%","9.8%"," $405,000 "
"p3116","Oak Forest/Tinley Park","142.7%","38.7%","127.5%","62.1%","9.7%"," $265,000 "
"p3117","Calumet City/Harvey","110.0%","29.8%","224.0%","86.4%","12.7%"," $163,000 "
"p3118","Chicago Heights/Park Forest","117.0%","34.5%","163.8%","80.9%","7.1%"," $194,750 "
"p3151","Chicago--Albany Park/North Park","128.9%","19.5%","83.1%","32.3%","0.7%"," $457,000 "
"p3152","Chicago--Lincoln Square/North Center","185.8%","39.3%","81.6%","29.4%","6.3%"," $670,000 "
"p3153","Chicago--Uptown/Rogers Park","177.8%","43.8%","102.8%","33.8%","10.0%"," $799,000 "
"p3154","Chicago--Lake View/Lincoln Park","114.2%","23.2%","42.2%","18.9%","3.8%"," $1,425,000 "
"p3155","Chicago--Logan Square/Irving Park","244.8%","57.0%","138.4%","35.4%","7.4%"," $700,000 "
"p3156","Chicago--Portage Park/Jefferson Park","147.5%","23.4%","124.0%","38.6%","6.3%"," $385,000 "
"p3157","Chicago--Humboldt Park/Belmont Cragin","195.6%","23.2%","207.0%","51.4%","3.9%"," $350,000 "
"p3158","Chicago--Austin/North Lawndale","205.4%","27.8%","235.5%","71.1%","11.2%"," $247,500 "
"p3159","Chicago--West Town/Near West Side","243.7%","49.3%","99.8%","21.6%","4.6%"," $950,000 "
"p3161","Chicago--Bronzeville/Hyde Park","188.0%","14.9%","135.0%","43.6%","24.4%"," $530,000 "
"p3162","Chicago--Bridgeport/Lower West Side","261.7%","25.8%","172.5%","39.1%","8.0%"," $355,000 "
"p3163","Chicago--South Lawndale/Brighton Park","199.7%","22.3%","251.1%","49.7%","8.0%"," $245,500 "
"p3164","Chicago--Archer Heights/West Lawn","170.8%","30.6%","139.5%","43.3%","7.2%"," $295,000 "
"p3165","Chicago--Englewood/Greater Grand Crossing","190.3%","17.0%","278.1%","97.0%","11.1%"," $161,000 "
"p3166","Chicago--Auburn Gresham/Morgan Park","162.2%","32.7%","135.9%","58.3%","5.5%"," $244,000 "
"p3167","Chicago--Chatham/West Pullman","129.9%","19.5%","202.5%","78.9%","11.3%"," $153,000 "
"p3168","Chicago--South Chicago/Hegewisch","139.9%","15.0%","177.0%","71.2%","6.0%"," $165,000 "
