Number,Sub Market,Change Peak to Current,Change since 2000,Recovery from Bottom,Year-over-year change
p3401,Palatine/Barrington,-16.7%,45.0%,19.8%,2.8%
p3407,Melrose Park/Maywood,-30.3%,30.3%,32.4%,9.8%
p3408,Oak Park/Cicero,-25.2%,53.8%,49.1%,10.5%
p3409,LaGrange/Burbank,-23.0%,40.0%,24.1%,6.8%
p3410,Orland Park/Lemont,-19.3%,50.7%,12.1%,3.0%
p3411,Oak Lawn/Blue Island,-31.7%,22.4%,18.5%,3.4%
p3412,Oak Forest/Country Club Hills,-33.3%,18.1%,17.4%,6.0%
p3413,Calumet City/Harvey,-50.0%,-18.6%,23.8%,4.8%
p3414,Chicago Heights/Park Forest,-44.0%,-9.4%,9.8%,1.8%
p3415,Arlington Heights/Wheeling,-15.4%,53.1%,27.0%,7.0%
p3416,Winnetka/Northbrook,-9.7%,61.7%,18.8%,0.7%
p3417,Hoffman Estates/Streamwood,-23.9%,33.2%,29.3%,7.7%
p3418,Schaumburg,-14.1%,57.2%,22.9%,5.9%
p3419,Mount Prospect/Elk Grove Village,-19.2%,48.3%,21.2%,3.7%
p3420,Park Ridge/Des Plaines,-22.9%,46.1%,25.6%,3.7%
p3421,Evanston/Skokie,-23.2%,45.3%,22.0%,3.8%
p3422,Elmwood Park/Franklin Park,-32.6%,32.9%,35.6%,8.3%
p3501,Chicago--Uptown/Rogers Park,-7.9%,81.4%,30.6%,6.2%
p3502,Chicago--Lake View/Lincoln Park,0.0%,76.1%,21.6%,1.5%
p3503,Chicago--Lincoln Square/North Center,0.0%,114.6%,32.7%,6.6%
p3504,Chicago--Irving Park/Albany Park,-11.1%,75.9%,36.4%,6.4%
p3520,Chicago--Portage Park/Jefferson Park,-23.8%,55.3%,37.8%,7.3%
p3521,Chicago--Austin/Belmont Cragin,-38.2%,42.5%,45.5%,15.0%
p3522,Chicago--Logan Square/Avondale,-1.9%,127.2%,52.6%,6.4%
p3523,Chicago--Humboldt Park/Garfield Park,-55.3%,30.7%,55.3%,8.3%
p3524,Chicago--West Town/Near West Side,0.0%,136.5%,36.6%,6.9%
p3526,Chicago--Bridgeport/Brighton Park,-34.8%,75.3%,40.9%,22.0%
p3527,Chicago--Gage Park/West Lawn,-30.7%,52.3%,34.8%,11.5%
p3528,Chicago--Englewood/Greater Grand Crossing,-57.8%,4.6%,32.5%,13.3%
p3529,Chicago--Bronzeville/Hyde Park,-42.1%,42.6%,18.2%,3.6%
p3530,Chicago--Beverly/Morgan Park,-27.5%,43.0%,22.7%,6.6%
p3531,Chicago--Auburn Gresham/Chatham,-48.3%,4.4%,20.0%,4.3%
p3532,Chicago--South Chicago/West Pullman,-52.2%,-2.9%,14.1%,6.1%
,,,,,
,Suburbs submarket median,-23.2%,45.0%,22.9%,4.8%
,City submarket median,-29.1%,53.8%,33.8%,6.6%
,Cook County submarket median,-23.9%,45.3%,25.6%,6.4%
