Number,Sub Market,Change since 2000,Change Bubble Era Peak to Current,Recovery from Bottom,Year-over-year change
p3401,Palatine/Barrington,49.4%,-14.2%,23.2%,-0.8%
p3407,Melrose Park/Maywood,56.2%,-16.1%,59.5%,3.0%
p3408,Oak Park/Cicero,81.1%,-11.6%,76.7%,2.3%
p3409,LaGrange/Burbank,57.4%,-13.2%,40.0%,4.4%
p3410,Orland Park/Lemont,67.4%,-10.1%,24.6%,2.4%
p3411,Oak Lawn/Blue Island,46.9%,-17.7%,43.3%,4.0%
p3412,Oak Forest/Country Club Hills,43.8%,-18.8%,43.3%,6.5%
p3413,Calumet City/Harvey,6.7%,-34.2%,64.3%,7.1%
p3414,Chicago Heights/Park Forest,13.2%,-29.9%,37.8%,5.4%
p3415,Arlington Heights/Wheeling,59.8%,-11.4%,32.9%,-0.7%
p3416,Winnetka/Northbrook,57.3%,-12.2%,15.7%,-1.9%
p3417,Hoffman Estates/Streamwood,59.6%,-8.9%,54.5%,2.6%
p3418,Schaumburg,83.6%,0.4%,43.8%,2.8%
p3419,Mount Prospect/Elk Grove Village,59.2%,-13.2%,29.9%,-0.6%
p3420,Park Ridge/Des Plaines,62.0%,-14.3%,39.7%,1.9%
p3421,Evanston/Skokie,60.7%,-15.1%,34.8%,0.2%
p3422,Elmwood Park/Franklin Park,60.1%,-18.3%,64.4%,3.5%
p3501,Chicago--Uptown/Rogers Park,96.5%,0.8%,42.1%,4.5%
p3502,Chicago--Lake View/Lincoln Park,79.8%,3.5%,19.4%,-0.9%
p3503,Chicago--Lincoln Square/North Center,115.2%,4.1%,35.4%,-1.2%
p3504,Chicago--Irving Park/Albany Park,94.9%,-0.7%,53.1%,4.3%
p3520,Chicago--Portage Park/Jefferson Park,79.2%,-11.3%,60.8%,1.9%
p3521,Chicago--Austin/Belmont Cragin,81.6%,-20.7%,88.1%,7.5%
p3522,Chicago--Logan Square/Avondale,166.8%,16.5%,83.0%,5.0%
p3523,Chicago--Humboldt Park/Garfield Park,118.5%,-25.4%,162.5%,16.3%
p3524,Chicago--West Town/Near West Side,181.2%,19.7%,64.1%,-0.3%
p3526,Chicago--Bridgeport/Brighton Park,118.9%,-18.1%,79.3%,5.4%
p3527,Chicago--Gage Park/West Lawn,86.5%,-14.7%,66.3%,5.8%
p3528,Chicago--Englewood/Greater Grand Crossing,36.6%,-45.0%,76.0%,8.3%
p3529,Chicago--Bronzeville/Hyde Park,71.4%,-30.6%,45.5%,3.0%
p3530,Chicago--Beverly/Morgan Park,66.3%,-14.5%,45.7%,3.8%
p3531,Chicago--Auburn Gresham/Chatham,31.7%,-33.5%,58.2%,8.8%
p3532,Chicago--South Chicago/West Pullman,27.4%,-36.5%,54.3%,8.1%
,,,,,
,City of Chicago,74.2%,-18.1%,51.0%,4.1%
,Suburban Cook,44.5%,-18.1%,37.6%,2.3%
,Cook County,52.0%,-18.6%,41.2%,2.8%
