"Number","Sub Market","Change since 2000","Change Bubble Era Peak to Current","Recovery from Bottom","Year-over-year change","Median Sales Price"
p3401,Palatine/Barrington,52.7%,-12.3%,25.7%,2.6%," $335,000 "
p3407,Melrose Park/Maywood,65.6%,-10.9%,69.2%,4.9%," $248,000 "
p3408,Oak Park/Cicero,86.7%,-8.6%,82.6%,3.5%," $295,000 "
p3409,LaGrange/Burbank,61.7%,-10.8%,43.8%,2.9%," $285,000 "
p3410,Orland Park/Lemont,76.9%,-4.9%,31.8%,5.2%," $300,000 "
p3411,Oak Lawn/Blue Island,58.8%,-10.9%,55.2%,6.0%," $210,000 "
p3412,Oak Forest/Country Club Hills,55.2%,-12.3%,54.9%,5.1%," $181,000 "
p3413,Calumet City/Harvey,26.2%,-22.0%,94.9%,14.2%," $123,000 "
p3414,Chicago Heights/Park Forest,34.0%,-16.9%,63.4%,13.8%," $150,000 "
p3415,Arlington Heights/Wheeling,62.4%,-10.0%,35.1%,2.0%," $340,000 "
p3416,Winnetka/Northbrook,58.6%,-11.5%,16.7%,0.2%," $684,000 "
p3417,Hoffman Estates/Streamwood,66.7%,-4.9%,61.2%,3.5%," $239,000 "
p3418,Schaumburg,90.3%,4.1%,49.0%,3.5%," $286,000 "
p3419,Mount Prospect/Elk Grove Village,63.8%,-10.7%,33.6%,3.3%," $327,750 "
p3420,Park Ridge/Des Plaines,68.4%,-10.8%,45.4%,4.1%," $350,000 "
p3421,Evanston/Skokie,63.7%,-13.6%,37.2%,2.4%," $379,000 "
p3422,Elmwood Park/Franklin Park,67.8%,-14.4%,72.5%,4.1%," $268,000 "
p3501,Chicago--Uptown/Rogers Park,114.4%,10.4%,55.4%,6.3%," $633,750 "
p3502,Chicago--Lake View/Lincoln Park,72.1%,-1.0%,14.2%,-5.2%," $1,077,500 "
p3503,Chicago--Lincoln Square/North Center,118.4%,5.8%,37.8%,-1.7%," $577,500 "
p3504,Chicago--Irving Park/Albany Park,96.7%,0.4%,54.9%,1.9%," $445,000 "
p3520,Chicago--Portage Park/Jefferson Park,87.4%,-7.0%,68.6%,3.7%," $327,500 "
p3521,Chicago--Austin/Belmont Cragin,98.9%,-12.8%,106.8%,11.6%," $258,250 "
p3522,Chicago--Logan Square/Avondale,186.4%,25.4%,97.3%,7.0%," $585,500 "
p3523,Chicago--Humboldt Park/Garfield Park,166.8%,-8.8%,221.9%,20.1%," $205,000 "
p3524,Chicago--West Town/Near West Side,184.0%,21.0%,66.3%,-0.8%," $680,000 "
p3526,Chicago--Bridgeport/Brighton Park,164.8%,-0.6%,117.9%,16.1%," $285,000 "
p3527,Chicago--Gage Park/West Lawn,110.2%,-3.8%,87.7%,9.3%," $240,000 "
p3528,Chicago--Englewood/Greater Grand Crossing,75.4%,-29.5%,127.2%,23.7%," $118,000 "
p3529,Chicago--Bronzeville/Hyde Park,96.6%,-20.5%,67.3%,12.5%," $334,500 "
p3530,Chicago--Beverly/Morgan Park,88.5%,-2.8%,65.9%,9.2%," $219,000 "
p3531,Chicago--Auburn Gresham/Chatham,57.8%,-19.6%,92.8%,17.3%," $135,000 "
p3532,Chicago--South Chicago/West Pullman,53.4%,-23.2%,87.7%,15.8%," $123,000 "
,,,,,,
,City of Chicago,92.8%,-9.2%,67.9%,8.5%," $260,000 "
,Suburban Cook,53.4%,-13.1%,46.0%,5.0%," $278,000 "
,Cook County,63.8%,-12.1%,52.4%,6.4%," $273,000 "
